@timestamp,@logStream,@duration,@initDuration,@maxMemoryUsed
2026-05-28 12:30:28.765,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.71,,86000000
2026-05-28 12:30:28.781,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.72,,85000000
2026-05-28 12:30:28.783,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.8,,86000000
2026-05-28 12:30:28.793,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,5.67,,85000000
2026-05-28 12:30:28.827,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.96,,85000000
2026-05-28 12:30:28.834,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.71,,86000000
2026-05-28 12:30:28.848,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,4,,86000000
2026-05-28 12:30:28.852,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,2.03,,86000000
2026-05-28 12:30:28.852,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.64,,85000000
2026-05-28 12:30:28.861,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.56,,86000000
2026-05-28 12:30:28.872,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,2.15,,86000000
2026-05-28 12:30:28.878,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,6.88,,86000000
2026-05-28 12:30:28.889,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.73,,85000000
2026-05-28 12:30:28.898,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,12.08,,86000000
2026-05-28 12:30:28.899,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,2.03,,86000000
2026-05-28 12:30:28.918,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,5.18,,86000000
2026-05-28 12:30:28.920,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.75,,86000000
2026-05-28 12:30:28.926,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.68,,85000000
2026-05-28 12:30:28.926,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,1.98,,86000000
2026-05-28 12:30:28.942,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.7,,85000000
2026-05-28 12:30:28.942,2026/05/28/[$LATEST]cfb0e958f4874281914ba0b7a1a72bef,1.96,,86000000
2026-05-28 12:30:28.943,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,2.1,,86000000
2026-05-28 12:30:28.943,2026/05/28/[$LATEST]188cc19e71ed4e0bb96c479aefb33946,1.75,,86000000
2026-05-28 12:30:28.949,2026/05/28/[$LATEST]5724bbfcea774384b83b606c0c42d806,4.22,,86000000
2026-05-28 12:30:28.955,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.59,,85000000
2026-05-28 12:30:28.965,2026/05/28/[$LATEST]5989da090f7445fcb92f7c32ee76dd46,1.64,,86000000
2026-05-28 12:30:28.975,2026/05/28/[$LATEST]5724bbfcea774384b83b606c0c42d806,15.42,,86000000
2026-05-28 12:30:28.986,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.76,,85000000
2026-05-28 12:30:28.998,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.61,,85000000
2026-05-28 12:30:29.001,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.93,,86000000
2026-05-28 12:30:29.018,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,10.47,,86000000
2026-05-28 12:30:29.019,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.66,,85000000
2026-05-28 12:30:29.033,2026/05/28/[$LATEST]5724bbfcea774384b83b606c0c42d806,1.79,,86000000
2026-05-28 12:30:29.051,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.57,,85000000
2026-05-28 12:30:29.062,2026/05/28/[$LATEST]15737d93c14242db96065ddfaa294dc4,1.66,,85000000
2026-05-28 12:30:29.065,2026/05/28/[$LATEST]645d0a3985b047aa91261d33b7d29c16,1.77,,86000000
